Id,Name,Authors,Citation,FirstAuthor,Journal,PublicationYear,CreateDate,PMCID,NIHMSID,DOI
32413319,SARS-CoV-2 Receptor ACE2 Is an Interferon-Stimulated Gene in Human Airway Epithelial Cells and Is Detected in Specific Cell Subsets across Tissues,"Ziegler CGK, Allon SJ, Nyquist SK, Mbano IM, Miao VN, Tzouanas CN, Cao Y, Yousif AS, Bals J, Hauser BM, Feldman J, Muus C, Wadsworth MH 2nd, Kazer SW, Hughes TK, Doran B, Gatter GJ, Vukovic M, Taliaferro F, Mead BE, Guo Z, Wang JP, Gras D, Plaisant M, Ansari M, Angelidis I, Adler H, Sucre JMS, Taylor CJ, Lin B, Waghray A, Mitsialis V, Dwyer DF, Buchheit KM, Boyce JA, Barrett NA, Laidlaw TM, Carroll SL, Colonna L, Tkachev V, Peterson CW, Yu A, Zheng HB, Gideon HP, Winchell CG, Lin PL, Bingle CD, Snapper SB, Kropski JA, Theis FJ, Schiller HB, Zaragosi LE, Barbry P, Leslie A, Kiem HP, Flynn JL, Fortune SM, Berger B, Finberg RW, Kean LS, Garber M, Schmidt AG, Lingwood D, Shalek AK, Ordovas-Montanes J; HCA Lung Biological Network. Electronic address: lung-network@humancellatlas.org; HCA Lung Biological Network.",Cell. 2020 May 28;181(5):1016-1035.e19. doi: 10.1016/j.cell.2020.04.035. Epub 2020 Apr 27.,Ziegler CGK,Cell,2020,2020/05/16,PMC7252096,,10.1016/j.cell.2020.04.035
30429548,Single-cell reconstruction of the early maternal-fetal interface in humans,"Vento-Tormo R, Efremova M, Botting RA, Turco MY, Vento-Tormo M, Meyer KB, Park JE, Stephenson E, Polański K, Goncalves A, Gardner L, Holmqvist S, Henriksson J, Zou A, Sharkey AM, Millar B, Innes B, Wood L, Wilbrey-Clark A, Payne RP, Ivarsson MA, Lisgo S, Filby A, Rowitch DH, Bulmer JN, Wright GJ, Stubbington MJT, Haniffa M, Moffett A, Teichmann SA.",Nature. 2018 Nov;563(7731):347-353. doi: 10.1038/s41586-018-0698-6. Epub 2018 Nov 14.,Vento-Tormo R,Nature,2018,2018/11/16,,,10.1038/s41586-018-0698-6
31597962,Decoding human fetal liver haematopoiesis,"Popescu DM, Botting RA, Stephenson E, Green K, Webb S, Jardine L, Calderbank EF, Polanski K, Goh I, Efremova M, Acres M, Maunder D, Vegh P, Gitton Y, Park JE, Vento-Tormo R, Miao Z, Dixon D, Rowell R, McDonald D, Fletcher J, Poyner E, Reynolds G, Mather M, Moldovan C, Mamanova L, Greig F, Young MD, Meyer KB, Lisgo S, Bacardit J, Fuller A, Millar B, Innes B, Lindsay S, Stubbington MJT, Kowalczyk MS, Li B, Ashenberg O, Tabaka M, Dionne D, Tickle TL, Slyper M, Rozenblatt-Rosen O, Filby A, Carey P, Villani AC, Roy A, Regev A, Chédotal A, Roberts I, Göttgens B, Behjati S, Laurenti E, Teichmann SA, Haniffa M.",Nature. 2019 Oct;574(7778):365-371. doi: 10.1038/s41586-019-1652-y. Epub 2019 Oct 9.,Popescu DM,Nature,2019,2019/10/11,PMC6861135,EMS84343,10.1038/s41586-019-1652-y
28428369,"Single-cell RNA-seq reveals new types of human blood dendritic cells, monocytes, and progenitors","Villani AC, Satija R, Reynolds G, Sarkizova S, Shekhar K, Fletcher J, Griesbeck M, Butler A, Zheng S, Lazo S, Jardine L, Dixon D, Stephenson E, Nilsson E, Grundberg I, McDonald D, Filby A, Li W, De Jager PL, Rozenblatt-Rosen O, Lane AA, Haniffa M, Regev A, Hacohen N.",Science. 2017 Apr 21;356(6335):eaah4573. doi: 10.1126/science.aah4573.,Villani AC,Science,2017,2017/04/22,PMC5775029,NIHMS910854,10.1126/science.aah4573
33479125,Developmental cell programs are co-opted in inflammatory skin disease,"Reynolds G, Vegh P, Fletcher J, Poyner EFM, Stephenson E, Goh I, Botting RA, Huang N, Olabi B, Dubois A, Dixon D, Green K, Maunder D, Engelbert J, Efremova M, Polański K, Jardine L, Jones C, Ness T, Horsfall D, McGrath J, Carey C, Popescu DM, Webb S, Wang XN, Sayer B, Park JE, Negri VA, Belokhvostova D, Lynch MD, McDonald D, Filby A, Hagai T, Meyer KB, Husain A, Coxhead J, Vento-Tormo R, Behjati S, Lisgo S, Villani AC, Bacardit J, Jones PH, O'Toole EA, Ogg GS, Rajan N, Reynolds NJ, Teichmann SA, Watt FM, Haniffa M.",Science. 2021 Jan 22;371(6527):eaba6500. doi: 10.1126/science.aba6500.,Reynolds G,Science,2021,2021/01/22,PMC7611557,EMS132468,10.1126/science.aba6500
29206104,The Human Cell Atlas,"Regev A, Teichmann SA, Lander ES, Amit I, Benoist C, Birney E, Bodenmiller B, Campbell P, Carninci P, Clatworthy M, Clevers H, Deplancke B, Dunham I, Eberwine J, Eils R, Enard W, Farmer A, Fugger L, Göttgens B, Hacohen N, Haniffa M, Hemberg M, Kim S, Klenerman P, Kriegstein A, Lein E, Linnarsson S, Lundberg E, Lundeberg J, Majumder P, Marioni JC, Merad M, Mhlanga M, Nawijn M, Netea M, Nolan G, Pe'er D, Phillipakis A, Ponting CP, Quake S, Reik W, Rozenblatt-Rosen O, Sanes J, Satija R, Schumacher TN, Shalek A, Shapiro E, Sharma P, Shin JW, Stegle O, Stratton M, Stubbington MJT, Theis FJ, Uhlen M, van Oudenaarden A, Wagner A, Watt F, Weissman J, Wold B, Xavier R, Yosef N; Human Cell Atlas Meeting Participants.",Elife. 2017 Dec 5;6:e27041. doi: 10.7554/eLife.27041.,Regev A,Elife,2017,2017/12/06,PMC5762154,,10.7554/eLife.27041
32079746,A cell atlas of human thymic development defines T cell repertoire formation,"Park JE, Botting RA, Domínguez Conde C, Popescu DM, Lavaert M, Kunz DJ, Goh I, Stephenson E, Ragazzini R, Tuck E, Wilbrey-Clark A, Roberts K, Kedlian VR, Ferdinand JR, He X, Webb S, Maunder D, Vandamme N, Mahbubani KT, Polanski K, Mamanova L, Bolt L, Crossland D, de Rita F, Fuller A, Filby A, Reynolds G, Dixon D, Saeb-Parsy K, Lisgo S, Henderson D, Vento-Tormo R, Bayraktar OA, Barker RA, Meyer KB, Saeys Y, Bonfanti P, Behjati S, Clatworthy MR, Taghon T, Haniffa M, Teichmann SA.",Science. 2020 Feb 21;367(6480):eaay3224. doi: 10.1126/science.aay3224.,Park JE,Science,2020,2020/02/22,PMC7611066,EMS127082,10.1126/science.aay3224
30093597,Single-cell transcriptomes from human kidneys reveal the cellular identity of renal tumors,"Young MD, Mitchell TJ, Vieira Braga FA, Tran MGB, Stewart BJ, Ferdinand JR, Collord G, Botting RA, Popescu DM, Loudon KW, Vento-Tormo R, Stephenson E, Cagan A, Farndon SJ, Del Castillo Velasco-Herrera M, Guzzo C, Richoz N, Mamanova L, Aho T, Armitage JN, Riddick ACP, Mushtaq I, Farrell S, Rampling D, Nicholson J, Filby A, Burge J, Lisgo S, Maxwell PH, Lindsay S, Warren AY, Stewart GD, Sebire N, Coleman N, Haniffa M, Teichmann SA, Clatworthy M, Behjati S.",Science. 2018 Aug 10;361(6402):594-599. doi: 10.1126/science.aat1699.,Young MD,Science,2018,2018/08/11,PMC6104812,EMS78997,10.1126/science.aat1699
32381715,Prenatal development of human immunity,"Park JE, Jardine L, Gottgens B, Teichmann SA, Haniffa M.",Science. 2020 May 8;368(6491):600-603. doi: 10.1126/science.aaz9330.,Park JE,Science,2020,2020/05/09,,,10.1126/science.aaz9330
28226228,Antigen-Presenting Cells in the Skin,"Kashem SW, Haniffa M, Kaplan DH.",Annu Rev Immunol. 2017 Apr 26;35:469-499. doi: 10.1146/annurev-immunol-051116-052215. Epub 2017 Feb 6.,Kashem SW,Annu Rev Immunol,2017,2017/02/23,,,10.1146/annurev-immunol-051116-052215
