title,link,"brief description ","estimated skill level (beginner, intermediate, advanced)",estimated skill,"category",skill from competencies framework,"internal quality (poor, medium, good)",major resources
,,,,,,,,Coursera
RSE Society Resource Collection,https://society-rse.org/resources-database/,Huge collection of multiple resources over categories,,,,,,
,,,,,,,,
Best Practices in Software Engineering,https://milliams.com/courses/software_engineering_best_practices/,"I found this course really helpful at the beginning of being an RSE and great intro to testing, licencing, documentation, and some good design tips.","beginner to intermediate","testing, documentaiton, design, licensing","technical",,,Society for Reserach Software Engineering
Intermediate Research Software Development,https://carpentries-incubator.github.io/python-intermediate-development/index.html,"This course (2-3.5h each day for five days) aims to teach a core set of established, intermediate-level software development skills and best practices for working as part of a team in a research environment using Python as an example programming language","beginner to intermediate","testing, IDEs, code styles, software design & different programming paradigms, version control via Git","technical",,,Software/Data Carpentries (including Carpentries Incubator)
Intermediate Research Software Development (UoM),https://uomresearchit.github.io/python-intermediate-development-nerc/,"^Different version of above course with a NERC focus, by University of Manchester, uses pandas instead of numpy","beginner to intermediate","Overall RSE, best practices - version control, testing, programming paradigms, collaboration, CI/CD","technical",,,
Journal of Open Research Software (JORS),https://openresearchsoftware.metajnl.com/,The Journal of Open Research Software (JORS) features peer reviewed Software Metapapers describing research software with high reuse potential.,"-","publishing, journal","communication",,,Coursera
Packaging and Publishing with Python,https://carpentries-incubator.github.io/python-packaging-publishing/,This course teaches best practices for organizing a project and publishing it using Python. Focus on sharing code within a lab and as published material.,"beginner ","project setups, IDEs, Conda & VirtualEnv, documentation (using Sphinx), testing ","domain expertise",,,
Building digital workforce capacity and skills for data-intensive science,https://www.oecd-ilibrary.org/science-and-technology/building-digital-workforce-capacity-and-skills-for-data-intensive-science_e08aa3bb-en,"This report looks at the human resource requirements for data-intensive science, focusing primarily on research conducted in the public sector, and the related challenges and training needs","advanced",human resource management,"leadership & project management",,,
RSE paper list,https://www.zotero.org/groups/5023353/rseng-papers,Zotero list on RSEng papers,"-","published articles, papers","-",,,
